name	meaning
Hermes	Mercury; gain; refuge
Johanan	who is liberal or merciful
Chesil	foolishness
Jetur	order; succession; mountainous
Simon	that hears; that obeys
Bajith	a house
Uzziel	the strength, or kid, of the Lord
Geliloth	rolling, wheel, heap
Areopagus	the hill of Mars
Darda	home of knowledge
Jehovah-nissi	the Lord my banner
Jah	the everlasting
Athaiah	the Lord's time
Etam	their bird, their covering
Elimelech	my God is king
Azgad	a strong army; a gang of robbers
Shalem	same as Salem
Machbanai	poverty; the smiting of his son
Baalah	her idol; she that is governed or subdued; a spouse
Nedabiah	prince or vow of the Lord
Belteshazzar	who lays up treasures in secret
Teraphim	images; idols
En-tappuah	fountain of an apple, or of inflation
Dibri	an orator
Abiah	the Lord is my father
Jarah	a wood; honeycomb; watching closely
Decapolis	containing ten cities
Rephael	the physic or medicine of God
Shemeber	name of force; name of the strong
Shapham	rabbit; wild rat; their lip; their brink
Zimmah	thought; wickedness
Jerubbaal	he that defends Baal, let Baal defend his cause
Senaah	bramble; enemy
Tabeal	good God
Miletum	red; scarlet
Joktan	small dispute; contention; disgust
Jehiskiah	the strength, or taking, of the Lord
Japhet	enlarged; fair; persuading
Hali	sickness; a beginning; a precious stone
Shochoh	defense; a bough
Edrei	a very great mass, or cloud
Jabez	sorrow; trouble
Cnidus	age
Pashur	that extends or multiplies the hole; whiteness
Balaam	the ancient of the people; the destruction of the people
Boson	taking away
Pentapolis	five cities
Moladah	birth; generation
Michri	selling
Chisleu	rashness; confidence
Moses	taken out; drawn forth
Achshaph	poison; tricks
Janoah	resting; tarrying; deriving
Apollonia	perdition, destruction
Bethshan	house of the tooth, or of ivory, or of sleep
Jahaziah	the vision of the Lord
Riblah	quarrel; greatness to him
Esek	contention
Hadlai	loitering; hindering
Jehozabad	the Lord's dowry; having a dowry
Joakim	rising or establishing of the Lord
Baal-tamar	master of the palm-tree
Ammi	same as Ammah
Aznoth-tabor	the ears of Tabor; the ears of purity or contrition
Bethphage	house of my month, or of early figs
Jael	he that ascends; a kid
Tammuz	abstruse; concealed; consumed
Hodiah	same as Hodaiah
Shamir	prison; bush; lees; thorn
Hammon	heat; the sun
Meshillamith	peaceable; perfect; giving again
Shehariah	mourning or blackness of the Lord
Chilion	finished; complete; perfect
Elnaam	God's fairness
Henoch	same as Enoch
Zithri	to hide; demolished
Teman	the south; Africa; perfect
Maachah	pressed down; worn; fastened
Tarah	a hair; a wretch; one banished
Hoham	woe to them
Eshean	held up
Manaen	a comforter; a leader
Hierapolis	holy city
Phalec	same as Peleg
Semaiah	obeying the Lord
Gibbar	strong, manly
Ibri	passing over; being angry; being with young
Cush	Ethiopians; blackness
Andrew	a strong man
Uel	desiring God
Beth-shemesh	house of the sun
Merab	he that fights or disputes
Zalmon	his shade; his image
Besodeiah	counsel of the Lord
Tahan	beseeching; merciful
Punites	beholding; my face
Habakkuk	he that embraces; a wrestler
Luhith	made of boards
Melzar	circumcision of a narrow place, or of a bond
Antothijah	answers or songs of the Lord; afflictions
Lycaonia	she-wolf
Apollyon	a destroyer
Betharabah	house of sweet smell
Taralah	searching out slander, or strength
Eleph	learning
Geshuri	sight of the valley; a walled valley
Ammizabad	dowry of the people
Ispah	a jasper stone
Jehoiarib	fighting, or multiplying, of the Lord
Iscariot	a man of murder; a hireling
Exodus	going out, departure
Sheariah	gate of the Lord; tempest of the Lord
Aphek	strength; a rapid torrent
Ether	talk
Jesaiah	health, or salvation, of the Lord
Aroer	heath; tamarisk
Paseah	passing over; halting
Peor	hole; opening
Upharsin	divided
Hothir	excelling; remaining
Rezon	lean; small; secret; prince
Irshemesh	a city of bondage
Ahiman	brother of the right hand
Meshelemiah	peace, or perfection, of the Lord
Meribbaal	he that resists Baal; rebellion
Neah	moved; moving
Ammihud	people of praise
Gallio	who sucks, or lives on milk
Hanes	banishment of grace
Amashai	the people's gift
Joram	to cast; elevated
Jeruel	fear, or vision of God
Jorai	showing; casting forth; a cauldron
Jorah	showing; casting forth; a cauldron
Bizjothjah	despite
Marah	bitter; bitterness
Zophim	place for a watchman
Dilean	that is poor
Hazo	seeing; prophesying
Hatita	a bending of sin
Sabaoth	Lord of hosts
Goliath	passage; revolution; heap
Alexander	one who assists men
Sanballat	bramble-bush; enemy in secret
Sardis	prince of joy
Almon-diblathaim	hidden in a cluster of fig trees
Arnon	rejoicing; sunlight
Hor	who conceives, or shows; a hill
Igeal	a redeemer; redeemed; defiled
Hod	praise; confession
Jeriel	fear, or vision of God
Ruth	drunk; satisfied
Haahashtari	a runner
Ariel	altar; light or lion of God
Zeruah	leprous; wasp; hornet
Diblaim	cluster of figs
Ahishar	brother of a prince; brother of a song
Mammon	riches
Amorite	bitter; a rebel; a babbler
Horeb	desert; solitude; destruction
Jochebed	glorious; honorable
Hymeneus	nuptial; the god of marriage
Dizahab	where much gold is
Augustus	increased, augmented
Huram	their liberty; their whiteness; their hole
Orpah	the neck or skull
Horem	an offering dedicated to God
Bilshan	in the tongue
Shamgar	named a stranger; he is here a stranger
Jambres	poverty; bitter; a rebel
Ahikam	a brother who raises up or avenges
Baasha	he that seeks, or lays waste
Matred	wand of government
Othni	my time; my hour
Azmon	bone of a bone; our strength
Noph	honeycomb; anything that distills or drops
Hallelujah	praise the Lord
Kirjath-huzoth	city of streets; populous city
Ramoth	eminences; high places
Zebah	victim; sacrifice
Baalath	a rejoicing; our proud lord
Naphtali	that struggles or fights
Jemuel	God's day; son of God
Sarid	remaining; hand of a prince
Michal	who is perfect?
En-haddah	quick sight; well of gladness
Jew	same as Judah
Stachys	spike or ear of corn
Daniel	judgment of God; God my judge
Jashub	a returning; a controversy; a dwelling place
Jaddua	known
Mahaz	an end; ending; growing hope
